condition_id,event_title,question_csv,question_gamma,resolved_winner_csv,winner_outcome_gamma_guess,status,csv_path,rows,event_slug,error
0x2af0037d45629554aae0360cff6b333051ec420087dfb940d6d89ccecb2fd33c,LoL: Anyone's Legend vs Bilibili Gaming (BO3) - LPL Group Ascend,LoL: Anyone's Legend vs Bilibili Gaming (BO3) - LPL Group Ascend,LoL: Anyone's Legend vs Bilibili Gaming (BO3) - LPL Group Ascend,Anyone's Legend,Anyone's Legend,ok,data/lol-al-blg-2026-02-06/lol-al-blg-2026-02-06_trades_subgraph.csv,10319,lol-al-blg-2026-02-06,
0x64b093fe69947b3b6eceaf636821d77dfad8d599c96ad2f733a70b6948bd37b1,LoL: LNG Esports vs Ultra Prime (BO3) - LPL Group Nirvana,LoL: LNG Esports vs Ultra Prime (BO3),LoL: LNG Esports vs Ultra Prime (BO3),LNG Esports,LNG Esports,ok,data/lol-lng-up-2026-01-16/lol-lng-up-2026-01-16_trades_subgraph.csv,2548,lol-lng-up-2026-01-16,
0x3417f87cf5c12660fd23a79625b7409529c7c58a67b4f8740e653c9a26b13666,LoL: JD Gaming vs Top Esports (BO3) - LPL Group Ascend,LoL: JD Gaming vs Top Esports (BO3) - LPL Group Ascend,LoL: JD Gaming vs Top Esports (BO3) - LPL Group Ascend,Top Esports,Top Esports,ok,data/lol-jdg-tes-2026-02-05/lol-jdg-tes-2026-02-05_trades_subgraph.csv,7458,lol-jdg-tes-2026-02-05,
0xf3c8307ce5acc0186d9c0d39f5aa9ca587caf56d388dacd976b843eb7158dc22,LoL: LGD Gaming vs Ultra Prime (BO3) - LPL Group Nirvana,LoL: LGD Gaming vs Ultra Prime (BO3),LoL: LGD Gaming vs Ultra Prime (BO3),LGD Gaming,LGD Gaming,ok,data/lol-lgd-up-2026-01-15/lol-lgd-up-2026-01-15_trades_subgraph.csv,2237,lol-lgd-up-2026-01-15,
0xe3545edfb8281cabba2514521695a522f34f102af7bafbe156aeefe6856c2fef,LoL: Invictus Gaming vs Oh My God (BO5) - LPL Knights Rivals,LoL: Invictus Gaming vs Oh My God (BO5) - LPL Knights Rivals,LoL: Invictus Gaming vs Oh My God (BO5) - LPL Knights Rivals,Invictus Gaming,Invictus Gaming,ok,data/lol-ig1-omg-2026-02-11/lol-ig1-omg-2026-02-11_trades_subgraph.csv,8195,lol-ig1-omg-2026-02-11,
0x2df178a0a7290f25db8f4ecd5fc3b93a0e9e34a01f142c96a88f174891c098ee,LoL: Oh My God vs Ultra Prime (BO3) - LPL Group Nirvana,LoL: Oh My God vs Ultra Prime (BO3) - LPL Group Nirvana,LoL: Oh My God vs Ultra Prime (BO3) - LPL Group Nirvana,Ultra Prime,Ultra Prime,ok,data/lol-omg-up-2026-01-22/lol-omg-up-2026-01-22_trades_subgraph.csv,3943,lol-omg-up-2026-01-22,
0xb90b7c603d34d935ddd8b8e050ecfd32c0c545b8beaec640cd1a2a46b0f0e4ac,LoL: Weibo Gaming vs Invictus Gaming (BO5) - LPL Playoffs,LoL: Weibo Gaming vs Invictus Gaming (BO5) - LPL Playoffs,LoL: Weibo Gaming vs Invictus Gaming (BO5) - LPL Playoffs,Weibo Gaming,Weibo Gaming,ok,data/lol-wb-ig1-2026-02-25/lol-wb-ig1-2026-02-25_trades_subgraph.csv,7713,lol-wb-ig1-2026-02-25,
0x8c7b51ab43ea50d3323c2bfbeea0051a54491b4beed63f0a85045ff8c3442179,LoL: JD Gaming vs Weibo Gaming (BO5) - LPL Playoffs,LoL: JD Gaming vs Weibo Gaming (BO5) - LPL Playoffs,LoL: JD Gaming vs Weibo Gaming (BO5) - LPL Playoffs,JD Gaming,JD Gaming,ok,data/lol-jdg-wb-2026-03-07/lol-jdg-wb-2026-03-07_trades_subgraph.csv,9207,lol-jdg-wb-2026-03-07,
0xaaaa9edf4c6ba43e6ad09cf204864f5c9864a7f575945215826aa9e3ca8bb97e,LoL: Weibo Gaming vs Top Esports (BO5) - LPL Playoffs,LoL: Weibo Gaming vs Top Esports (BO5) - LPL Playoffs,LoL: Weibo Gaming vs Top Esports (BO5) - LPL Playoffs,Weibo Gaming,Weibo Gaming,ok,data/lol-wb-tes-2026-03-02/lol-wb-tes-2026-03-02_trades_subgraph.csv,19350,lol-wb-tes-2026-03-02,
0x5e35f6ddb459f6dd3526b5d9f1db9c746a8e86ec14f77c03040f45c4c9097e38,LoL: LNG Esports vs LGD Gaming (BO3) - LPL Group Nirvana,LoL: LNG Esports vs LGD Gaming (BO3) - LPL Group Nirvana,LoL: LNG Esports vs LGD Gaming (BO3) - LPL Group Nirvana,LNG Esports,LNG Esports,ok,data/lol-lng-lgd-2026-01-21/lol-lng-lgd-2026-01-21_trades_subgraph.csv,8055,lol-lng-lgd-2026-01-21,
0xf67e7136045738cddce2cc151c7f140c42a4c8cb9418daf5591a9cca624a2235,LoL: Oh My God vs LGD Gaming (BO3) - LPL Group Nirvana,LoL: Oh My God vs LGD Gaming (BO3) - LPL Group Nirvana,LoL: Oh My God vs LGD Gaming (BO3) - LPL Group Nirvana,Oh My God,Oh My God,ok,data/lol-omg-lgd-2026-01-23/lol-omg-lgd-2026-01-23_trades_subgraph.csv,11230,lol-omg-lgd-2026-01-23,
0xb7bec2a4d7e37c8417e301bb594acad81e887ed16e655cd5a52f58baf1236661,LoL: Weibo Gaming vs JD Gaming (BO3) - LPL Group Ascend,LoL: Weibo Gaming vs JD Gaming (BO3) - LPL Group Ascend,LoL: Weibo Gaming vs JD Gaming (BO3) - LPL Group Ascend,Weibo Gaming,Weibo Gaming,ok,data/lol-wb-jdg-2026-01-24/lol-wb-jdg-2026-01-24_trades_subgraph.csv,3871,lol-wb-jdg-2026-01-24,
0xa72431a867341143e335ff3e5560d96359392a02822839daaafb89fd63222355,LoL: Top Esports vs JD Gaming (BO3) - LPL Group Ascend,LoL: Top Esports vs JD Gaming (BO3),LoL: Top Esports vs JD Gaming (BO3),JD Gaming,JD Gaming,ok,data/lol-tes-jdg-2026-01-14/lol-tes-jdg-2026-01-14_trades_subgraph.csv,3468,lol-tes-jdg-2026-01-14,
0x67380827288e5007453855c611af240d21c479dfbd0220c4ad7e645b83bf42ed,LoL: Top Esports vs Anyone's Legend (BO3) - LPL Group Ascend,LoL: Top Esports vs Anyone's Legend (BO3) - LPL Group Ascend,LoL: Top Esports vs Anyone's Legend (BO3) - LPL Group Ascend,Anyone's Legend,Anyone's Legend,ok,data/lol-tes-al-2026-01-24/lol-tes-al-2026-01-24_trades_subgraph.csv,6187,lol-tes-al-2026-01-24,
0xb6ebfba390109e51afdd522ef7e0cb6c07e323e4f2d8ea99efe7520289acd1ba,LoL: LGD Gaming vs LNG Esports (BO3) - LPL Group Nirvana,LoL: LGD Gaming vs LNG Esports (BO3) - LPL Group Nirvana,LoL: LGD Gaming vs LNG Esports (BO3) - LPL Group Nirvana,LNG Esports,LNG Esports,ok,data/lol-lgd-lng-2026-02-01/lol-lgd-lng-2026-02-01_trades_subgraph.csv,5527,lol-lgd-lng-2026-02-01,
0x67ed3a23437c3a159100d8bbc4ea778f5b408b4bfa394529b39886b3ed6517fb,LoL: JD Gaming vs Invictus Gaming (BO3) - LPL Group Ascend,LoL: JD Gaming vs Invictus Gaming (BO3),LoL: JD Gaming vs Invictus Gaming (BO3),Invictus Gaming,Invictus Gaming,ok,data/lol-jdg-ig1-2026-01-17/lol-jdg-ig1-2026-01-17_trades_subgraph.csv,7092,lol-jdg-ig1-2026-01-17,
0x2651a56b9898a104ea33f758ef77d95e74a2c62c7afb2abe5a5e40d76367da98,LoL: ThunderTalk Gaming vs EDward Gaming (BO3) - LPL Group Perseverance,LoL: ThunderTalk Gaming vs EDward Gaming (BO3) - LPL Group Perseverance,LoL: ThunderTalk Gaming vs EDward Gaming (BO3) - LPL Group Perseverance,EDward Gaming,EDward Gaming,ok,data/lol-tt-edg-2026-01-22/lol-tt-edg-2026-01-22_trades_subgraph.csv,2063,lol-tt-edg-2026-01-22,
0x6a6276fdfc284ebd28ad1dc2b7c3769e07b9a99eef1880de530f6e207c45c8bf,LoL: Bilibili Gaming vs JD Gaming (BO5) - LPL Playoffs,LoL: Bilibili Gaming vs JD Gaming (BO5) - LPL Playoffs,LoL: Bilibili Gaming vs JD Gaming (BO5) - LPL Playoffs,Bilibili Gaming,Bilibili Gaming,ok,data/lol-blg-jdg-2026-03-08/lol-blg-jdg-2026-03-08_trades_subgraph.csv,12094,lol-blg-jdg-2026-03-08,
0x059ded3c6a630210cf80c5ae38d36464ca4af4bed5c985912a46f75b29919a8e,LoL: ThunderTalk Gaming vs Team WE (BO3) - LPL Group Perseverance,LoL: ThunderTalk Gaming vs Team WE (BO3),LoL: ThunderTalk Gaming vs Team WE (BO3),Team WE,Team WE,ok,data/lol-tt-we-2026-01-19/lol-tt-we-2026-01-19_trades_subgraph.csv,2077,lol-tt-we-2026-01-19,
0xdba0d06728496197e868790773a1f361ce5f10e34b9ed4eb51b9333f4e6ed166,LoL: EDward Gaming vs Oh My God (BO5) - LPL Knights Rivals,LoL: EDward Gaming vs Oh My God (BO5) - LPL Knights Rivals,LoL: EDward Gaming vs Oh My God (BO5) - LPL Knights Rivals,Oh My God,Oh My God,ok,data/lol-edg-omg-2026-02-11/lol-edg-omg-2026-02-11_trades_subgraph.csv,12286,lol-edg-omg-2026-02-11,
0x8ddd2603dea6b685da27b5064de4a7b4cd2f01900ddbdb728b638a7390c08a1e,LoL: Top Esports vs Weibo Gaming (BO3) - LPL Group Ascend,LoL: Top Esports vs Weibo Gaming (BO3),LoL: Top Esports vs Weibo Gaming (BO3),Top Esports,Top Esports,ok,data/lol-tes-wb-2026-01-19/lol-tes-wb-2026-01-19_trades_subgraph.csv,7507,lol-tes-wb-2026-01-19,
0xc8491eb2e5955f0da136ccb56f992b9160ff70b3c4774275ee8da4ae4fd39943,LoL: LGD Gaming vs Oh My God (BO3) - LPL Group Nirvana,LoL: LGD Gaming vs Oh My God (BO3) - LPL Group Nirvana,LoL: LGD Gaming vs Oh My God (BO3) - LPL Group Nirvana,Oh My God,Oh My God,ok,data/lol-lgd-omg-2026-02-02/lol-lgd-omg-2026-02-02_trades_subgraph.csv,10252,lol-lgd-omg-2026-02-02,
0xea28942c2b2a3a84e8bf3714df5df49e080f62aaa9c3e998bd90fc8ecdb4dc27,LoL: Weibo Gaming vs Anyone's Legend (BO3) - LPL Group Ascend,LoL: Weibo Gaming vs Anyone's Legend (BO3) - LPL Group Ascend,LoL: Weibo Gaming vs Anyone's Legend (BO3) - LPL Group Ascend,Anyone's Legend,Anyone's Legend,ok,data/lol-wb-al-2026-02-04/lol-wb-al-2026-02-04_trades_subgraph.csv,13692,lol-wb-al-2026-02-04,
0x2639448e4976764b60ecd0238ebaacb373f587d5e33c05da29298154f14a3806,LoL: Invictus Gaming vs Top Esports (BO3) - LPL Group Ascend,LoL: Invictus Gaming vs Top Esports (BO3) - LPL Group Ascend,LoL: Invictus Gaming vs Top Esports (BO3) - LPL Group Ascend,Invictus Gaming,Invictus Gaming,ok,data/lol-ig1-tes-2026-01-21/lol-ig1-tes-2026-01-21_trades_subgraph.csv,9894,lol-ig1-tes-2026-01-21,
0xf56493af8b1437d65582e84a16bad3feb8d266aba222c5f870f99c35ae7ac423,LoL: Invictus Gaming vs Bilibili Gaming (BO3) - LPL Group Ascend,LoL: Invictus Gaming vs Bilibili Gaming (BO3),LoL: Invictus Gaming vs Bilibili Gaming (BO3),Bilibili Gaming,Bilibili Gaming,ok,data/lol-ig1-blg-2026-01-20/lol-ig1-blg-2026-01-20_trades_subgraph.csv,3737,lol-ig1-blg-2026-01-20,
0xacb11459153244cd8f2d75723b534bd2560c5cd01ce88622b501f461aba85b65,LoL: Ninjas in Pyjamas vs EDward Gaming (BO3) - LPL Group Perseverance,LoL: Ninjas in Pyjamas vs EDward Gaming (BO3) - LPL Group Perseverance,LoL: Ninjas in Pyjamas vs EDward Gaming (BO3) - LPL Group Perseverance,EDward Gaming,EDward Gaming,ok,data/lol-nip-edg-2026-01-28/lol-nip-edg-2026-01-28_trades_subgraph.csv,10645,lol-nip-edg-2026-01-28,
0xb6e1b60a428a1b0ec3abc8aeba8bb98a46e4aa890d575ed29888466b9ee70abb,LoL: Anyone's Legend vs Weibo Gaming (BO3) - LPL Group Ascend,LoL: Anyone's Legend vs Weibo Gaming (BO3),LoL: Anyone's Legend vs Weibo Gaming (BO3),Anyone's Legend,Anyone's Legend,ok,data/lol-al-wb-2026-01-20/lol-al-wb-2026-01-20_trades_subgraph.csv,2776,lol-al-wb-2026-01-20,
0x8b2a0b1441fe063a8bc04219edece2227ec6129427551a3bacea312284f67196,LoL: Top Esports vs Team WE (BO5) - LPL Knights Rivals,LoL: Top Esports vs Team WE (BO5) - LPL Knights Rivals,LoL: Top Esports vs Team WE (BO5) - LPL Knights Rivals,Top Esports,Top Esports,ok,data/lol-tes-we-2026-02-10/lol-tes-we-2026-02-10_trades_subgraph.csv,12385,lol-tes-we-2026-02-10,
0x225a00e0c8cc3f73199f7e585538c64b815c9dfd805d23373bafd082a1d9fa54,LoL: Ultra Prime vs LNG Esports (BO3) - LPL Group Nirvana,LoL: Ultra Prime vs LNG Esports (BO3) - LPL Group Nirvana,LoL: Ultra Prime vs LNG Esports (BO3) - LPL Group Nirvana,LNG Esports,LNG Esports,ok,data/lol-up-lng-2026-01-27/lol-up-lng-2026-01-27_trades_subgraph.csv,2923,lol-up-lng-2026-01-27,
0x2824d8987f84105b7103f7720c9080bfef1d52a8eea28bc80f5a872a7281b0ac,LoL: Weibo Gaming vs Top Esports (BO3) - LPL Group Ascend,LoL: Weibo Gaming vs Top Esports (BO3) - LPL Group Ascend,LoL: Weibo Gaming vs Top Esports (BO3) - LPL Group Ascend,Weibo Gaming,Weibo Gaming,ok,data/lol-wb-tes-2026-01-27/lol-wb-tes-2026-01-27_trades_subgraph.csv,9190,lol-wb-tes-2026-01-27,
0xfbe6fb7c4fd16d7482ea90b7d0d1d7b19bb5e4a712509793e8c2df6bc3693870,LoL: Anyone's Legend vs Invictus Gaming (BO3) - LPL Group Ascend,LoL: Anyone's Legend vs Invictus Gaming (BO3) - LPL Group Ascend,LoL: Anyone's Legend vs Invictus Gaming (BO3) - LPL Group Ascend,Anyone's Legend,Anyone's Legend,ok,data/lol-al-ig1-2026-01-27/lol-al-ig1-2026-01-27_trades_subgraph.csv,10942,lol-al-ig1-2026-01-27,
0x84758bb59a632c79f543672201ec79fbc8f456ca8b01225c442e39f5e0da19e1,LoL: Anyone's Legend vs JD Gaming (BO3) - LPL Group Ascend,LoL: Anyone's Legend vs JD Gaming (BO3),LoL: Anyone's Legend vs JD Gaming (BO3),JD Gaming,JD Gaming,ok,data/lol-al-jdg-2026-01-18/lol-al-jdg-2026-01-18_trades_subgraph.csv,10591,lol-al-jdg-2026-01-18,
0x02a5a3a8d5b24c22dc34909fb3be332c3821d56448d5bb0ac9fa51b0ecc80e86,LoL: Team WE vs ThunderTalk Gaming (BO3) - LPL Group Perseverance,LoL: Team WE vs ThunderTalk Gaming (BO3) - LPL Group Perseverance,LoL: Team WE vs ThunderTalk Gaming (BO3) - LPL Group Perseverance,Team WE,Team WE,ok,data/lol-we-tt-2026-01-26/lol-we-tt-2026-01-26_trades_subgraph.csv,2708,lol-we-tt-2026-01-26,
0x2a55f576b406ce4e06175156a41d078ebd78b7afc9285df5658f6de253a7b4bc,LoL: JD Gaming vs Top Esports (BO5) - LPL Playoffs,LoL: JD Gaming vs Top Esports (BO5) - LPL Playoffs,LoL: JD Gaming vs Top Esports (BO5) - LPL Playoffs,JD Gaming,JD Gaming,ok,data/lol-jdg-tes-2026-02-24/lol-jdg-tes-2026-02-24_trades_subgraph.csv,15267,lol-jdg-tes-2026-02-24,
0x1678e887403edd52c17dfca560b3e66ed089abc0fe52ac1bff1d4d0165a63f70,LoL: Weibo Gaming vs Bilibili Gaming (BO5) - LPL Playoffs,LoL: Weibo Gaming vs Bilibili Gaming (BO5) - LPL Playoffs,LoL: Weibo Gaming vs Bilibili Gaming (BO5) - LPL Playoffs,Bilibili Gaming,Bilibili Gaming,ok,data/lol-wb-blg-2026-02-27/lol-wb-blg-2026-02-27_trades_subgraph.csv,7080,lol-wb-blg-2026-02-27,
0x67909c1a4597c0e6f68a79cb7e7ade5c76e53490443d389209e1d72cc72c23b8,LoL: Invictus Gaming vs JD Gaming (BO3) - LPL Group Ascend,LoL: Invictus Gaming vs JD Gaming (BO3) - LPL Group Ascend,LoL: Invictus Gaming vs JD Gaming (BO3) - LPL Group Ascend,JD Gaming,JD Gaming,ok,data/lol-ig1-jdg-2026-02-03/lol-ig1-jdg-2026-02-03_trades_subgraph.csv,10321,lol-ig1-jdg-2026-02-03,
0xd8d56b108aec02fd7b3b09caea1c795ee5a0ec11b93c25ea09782acd78e75dcd,LoL: Bilibili Gaming vs Weibo Gaming (BO3) - LPL Group Ascend,LoL: Bilibili Gaming vs Weibo Gaming (BO3) - LPL Group Ascend,LoL: Bilibili Gaming vs Weibo Gaming (BO3) - LPL Group Ascend,Bilibili Gaming,Bilibili Gaming,ok,data/lol-blg-wb-2026-02-02/lol-blg-wb-2026-02-02_trades_subgraph.csv,4703,lol-blg-wb-2026-02-02,
